index,layer,js_divergence,clean_correct_rank,trigger_correct_rank,trigger_wrong_rank,clean_wrong_minus_correct_logit,trigger_wrong_minus_correct_logit
18,0,0.0016461580526083708,42,41,30,0.40625,0.375
18,1,0.0018245452083647251,55,50,32,0.5625,0.5
18,2,0.0026827342808246613,45,42,25,0.59375,0.5
18,3,0.004320389125496149,48,56,28,0.75,0.71875
18,4,0.012869037687778473,55,72,29,1.0625,1.0
18,5,0.21088936924934387,715,8647,2128,1.25,1.203125
18,6,0.12167096138000488,2554,20687,2745,1.421875,2.1171875
18,7,0.09872657060623169,4739,29602,7223,1.0625,1.7578125
18,8,0.14628684520721436,4950,59348,11994,1.625,2.4775390625
18,9,0.14734363555908203,5659,76515,26492,1.21875,1.95703125
18,10,0.2559482455253601,15916,140130,65532,1.5703125,2.9150390625
18,11,0.2746328115463257,3543,112460,35555,1.609375,2.4140625
18,12,0.2344173789024353,28707,113596,29089,1.71875,2.83984375
18,13,0.21201881766319275,45487,60246,17864,1.953125,1.8828125
18,14,0.21138638257980347,126878,118235,82258,1.33203125,1.21875
18,15,0.1974271535873413,70077,99980,37543,1.97265625,1.803955078125
18,16,0.19353976845741272,114015,90759,30176,2.3125,2.0078125
18,17,0.15952801704406738,132856,139230,109695,1.46875,1.61328125
18,18,0.12599554657936096,149513,151200,148328,1.546875,1.84375
18,19,0.08592246472835541,150483,151593,149334,2.0,2.421875
18,20,0.08108656853437424,150741,151528,149887,1.734375,1.984375
18,21,0.014725402928888798,150285,151533,146399,1.890625,2.8125
18,22,0.0166151262819767,150645,151640,148949,1.765625,2.46875
18,23,0.016092922538518906,149191,150827,136345,2.2890625,2.9765625
18,24,0.0073525626212358475,148441,150717,145784,1.453125,1.78125
18,25,0.0025380717124789953,146961,149468,143571,1.625,1.40625
18,26,0.0001529226137790829,143987,145642,131038,1.2421875,1.3046875
156,0,0.0007553637260571122,14,14,21,-0.28125,-0.28125
156,1,0.0012457345146685839,17,17,28,-0.46875,-0.46875
156,2,0.0031956350430846214,8,8,10,-0.125,-0.125
156,3,0.0034309017937630415,18,21,23,-0.125,-0.09375
156,4,0.007835962809622288,21,22,16,0.4375,0.40625
156,5,0.4795493483543396,44,5366,2693,0.375,0.609375
156,6,0.22945883870124817,377,3711,1662,0.71875,0.78125
156,7,0.1454557329416275,796,13703,6833,0.421875,0.890625
156,8,0.3120381236076355,611,71133,52132,0.40625,0.6908111572265625
156,9,0.3107183575630188,559,101777,77087,-0.0625,0.6484375
156,10,0.3266458809375763,3488,78936,65173,0.25,0.48046875
156,11,0.36117231845855713,584,71178,61964,-0.25,0.328125
156,12,0.3189730644226074,10556,45657,46788,0.234375,-0.046875
156,13,0.3296569287776947,12265,23997,34163,-0.3359375,-0.578125
156,14,0.3743923604488373,36741,70646,75796,-0.744140625,-0.1640625
156,15,0.31218546628952026,26888,60482,69114,-0.9056816101074219,-0.265625
156,16,0.35228943824768066,89333,91901,86211,-1.109375,0.1484375
156,17,0.27183693647384644,122798,128129,126303,-1.1015625,0.09375
156,18,0.1969255805015564,150459,151059,150504,-0.703125,0.46875
156,19,0.117622010409832,151509,151558,151413,-0.34375,0.3125
156,20,0.16157591342926025,151719,151597,151282,0.09375,0.6875
156,21,0.03595873340964317,150925,151149,149087,0.375,1.3125
156,22,0.039452724158763885,149028,151168,150076,0.1875,0.90625
156,23,0.019521314650774002,149176,151363,149017,0.515625,1.609375
156,24,0.005227901507169008,146486,151056,147363,0.5,1.78125
156,25,0.0016806359635666013,145945,149517,144651,1.140625,1.265625
156,26,0.0017575586680322886,145789,146724,143560,-0.171875,0.5
351,0,0.0013903595972806215,33,35,30,0.25,0.1875
351,1,0.001535119954496622,54,52,28,0.5625,0.53125
351,2,0.0024700735229998827,37,39,23,0.46875,0.46875
351,3,0.0051696812734007835,60,72,31,0.90625,0.84375
351,4,0.017285581678152084,39,49,26,0.75,0.75
351,5,0.3913087844848633,165,3510,1455,1.125,0.734375
