layer,depth_pct,js_divergence,mean_correct_rank_clean,mean_correct_rank_trigger,mean_trigger_box_rank_trigger
0,0.0,0.0028375666433324417,2075.3076923076924,1923.8461538461538,19.6
1,3.7,0.0029642871192966896,1044.3846153846155,1038.1538461538462,21.0
2,7.4,0.004281579439217846,1957.923076923077,1935.2307692307693,17.2
3,11.1,0.004183326634423186,3489.0,3491.0,23.6
4,14.8,0.010363602840031187,3005.923076923077,3288.923076923077,25.8
5,18.5,0.37255496233701707,3810.846153846154,11057.846153846154,4116.6
6,22.2,0.1491273435453574,5454.461538461538,17019.923076923078,6853.0
7,25.9,0.11042226826151212,9613.384615384615,30458.384615384617,17798.6
8,29.6,0.1587840107580026,9733.153846153846,50525.846153846156,39021.0
9,33.3,0.170731370896101,15068.307692307691,62125.92307692308,53707.6
10,37.0,0.22372573415438335,33668.07692307692,103152.92307692308,93270.6
11,40.7,0.2295374835530917,30246.846153846152,93699.76923076923,82075.0
12,44.4,0.26668225079774854,89283.61538461539,82009.30769230769,68184.2
13,48.1,0.23124319463968276,88931.92307692308,53067.61538461538,58704.0
14,51.9,0.24149629101157188,129321.92307692308,70373.15384615384,106721.6
15,55.6,0.2901023675998052,105896.46153846153,61379.153846153844,92120.0
16,59.3,0.21663685192664464,125858.07692307692,83005.23076923077,105742.2
17,63.0,0.1543676736454169,142278.3076923077,128365.23076923077,137370.8
18,66.7,0.14646258478363355,149470.07692307694,149379.76923076922,150698.8
19,70.4,0.16704824616511663,150543.0,150901.92307692306,151222.2
20,74.1,0.10842662379145622,150187.23076923078,150111.46153846153,151354.4
21,77.8,0.04162308145314455,148897.3076923077,149479.61538461538,150585.4
22,81.5,0.028647121880203484,148080.46153846153,149256.46153846153,151156.4
23,85.2,0.012603591786076625,148857.0,149051.0,148556.0
24,88.9,0.0043012283902498895,147581.53846153847,148688.3076923077,150122.0
25,92.6,0.001264246583923523,144919.76923076922,146664.0,149076.2
26,96.3,0.001498977338997065,141963.53846153847,143899.15384615384,145965.4
